Week,Day,Date,Standard
5,Sunday,2020-09-13,NA
5,Monday,2020-09-14,NA
5,Tuesday,2020-09-15,NA
5,Wednesday,2020-09-16,NA
5,Thursday,2020-09-17,NA
5,Friday,2020-09-18,NA
5,Saturday,2020-09-19,NA
6,Sunday,2020-09-20,NA
6,Monday,2020-09-21,NA
6,Tuesday,2020-09-22,NA
6,Wednesday,2020-09-23,NA
6,Thursday,2020-09-24,NA
6,Friday,2020-09-25,NA
6,Saturday,2020-09-26,NA
7,Sunday,2020-09-27,NA
7,Monday,2020-09-28,NA
7,Tuesday,2020-09-29,NA
7,Wednesday,2020-09-30,NA
7,Thursday,2020-10-01,NA
7,Friday,2020-10-02,NA
7,Saturday,2020-10-03,NA
8,Sunday,2020-10-04,NA
8,Monday,2020-10-05,NA
8,Tuesday,2020-10-06,NA
8,Wednesday,2020-10-07,NA
8,Thursday,2020-10-08,NA
8,Friday,2020-10-09,NA
8,Saturday,2020-10-10,NA
9,Sunday,2020-10-11,NA
9,Monday,2020-10-12,NA
9,Tuesday,2020-10-13,NA
9,Wednesday,2020-10-14,NA
9,Thursday,2020-10-15,NA
9,Friday,2020-10-16,NA
9,Saturday,2020-10-17,NA
10,Sunday,2020-10-18,NA
10,Monday,2020-10-19,NA
10,Tuesday,2020-10-20,NA
10,Wednesday,2020-10-21,NA
10,Thursday,2020-10-22,NA
10,Friday,2020-10-23,NA
10,Saturday,2020-10-24,NA
11,Sunday,2020-10-25,NA
11,Monday,2020-10-26,NA
11,Tuesday,2020-10-27,NA
11,Wednesday,2020-10-28,NA
11,Thursday,2020-10-29,NA
11,Friday,2020-10-30,NA
11,Saturday,2020-10-31,NA
12,Sunday,2020-11-01,NA
12,Monday,2020-11-02,NA
12,Tuesday,2020-11-03,NA
12,Wednesday,2020-11-04,NA
12,Thursday,2020-11-05,NA
12,Friday,2020-11-06,NA
12,Saturday,2020-11-07,NA
13,Sunday,2020-11-08,NA
13,Monday,2020-11-09,NA
13,Tuesday,2020-11-10,NA
13,Wednesday,2020-11-11,NA
13,Thursday,2020-11-12,NA
13,Friday,2020-11-13,NA
13,Saturday,2020-11-14,NA
14,Sunday,2020-11-15,NA
14,Monday,2020-11-16,NA
14,Tuesday,2020-11-17,NA
14,Wednesday,2020-11-18,NA
14,Thursday,2020-11-19,NA
14,Friday,2020-11-20,NA
14,Saturday,2020-11-21,NA
15,Sunday,2020-11-22,NA
15,Monday,2020-11-23,NA
15,Tuesday,2020-11-24,NA
15,Wednesday,2020-11-25,NA
15,Thursday,2020-11-26,NA
15,Friday,2020-11-27,NA
15,Saturday,2020-11-28,NA
